rel_frame_id,query,top1,top5,top10,top15,ground_truth
video8469,two parrots in a bird cage one white chick and on green adult,"[[7546, 1.416968584060669]]","[[7546, 1.416968584060669], [7849, 1.4469248056411743], [8469, 1.4503302574157715], [8786, 1.474300742149353], [8268, 1.4751577377319336]]","[[7546, 1.416968584060669], [7849, 1.4469248056411743], [8469, 1.4503302574157715], [8786, 1.474300742149353], [8268, 1.4751577377319336], [8481, 1.4758574962615967], [7822, 1.475929856300354], [9835, 1.4777745008468628], [7438, 1.4857640266418457], [9828, 1.4858756065368652]]","[[7546, 1.416968584060669], [7849, 1.4469248056411743], [8469, 1.4503302574157715], [8786, 1.474300742149353], [8268, 1.4751577377319336], [8481, 1.4758574962615967], [7822, 1.475929856300354], [9835, 1.4777745008468628], [7438, 1.4857640266418457], [9828, 1.4858756065368652], [9805, 1.4892957210540771], [8302, 1.4926679134368896], [9014, 1.4955037832260132], [7528, 1.4986658096313477], [7377, 1.499225378036499]]",8469
video9687,a man chopping lobster and taking off the shell,"[[9687, 1.3787086009979248]]","[[9687, 1.3787086009979248], [9309, 1.3938157558441162], [8129, 1.4017287492752075], [8025, 1.401921272277832], [8686, 1.4145352840423584]]","[[9687, 1.3787086009979248], [9309, 1.3938157558441162], [8129, 1.4017287492752075], [8025, 1.401921272277832], [8686, 1.4145352840423584], [7966, 1.417562484741211], [7799, 1.4239741563796997], [8834, 1.42399263381958], [8300, 1.4396600723266602], [9693, 1.4399034976959229]]","[[9687, 1.3787086009979248], [9309, 1.3938157558441162], [8129, 1.4017287492752075], [8025, 1.401921272277832], [8686, 1.4145352840423584], [7966, 1.417562484741211], [7799, 1.4239741563796997], [8834, 1.42399263381958], [8300, 1.4396600723266602], [9693, 1.4399034976959229], [8489, 1.4468472003936768], [9798, 1.4481501579284668], [9335, 1.4489327669143677], [8325, 1.4515931606292725], [9038, 1.4556037187576294]]",9687
video7698,two women are walking in a parking lot,"[[8899, 1.3929719924926758]]","[[8899, 1.3929719924926758], [7138, 1.4042450189590454], [8016, 1.4117695093154907], [9832, 1.4347983598709106], [7116, 1.4389090538024902]]","[[8899, 1.3929719924926758], [7138, 1.4042450189590454], [8016, 1.4117695093154907], [9832, 1.4347983598709106], [7116, 1.4389090538024902], [7212, 1.4436285495758057], [8123, 1.447044849395752], [8657, 1.4473551511764526], [8044, 1.452528715133667], [7822, 1.4561338424682617]]","[[8899, 1.3929719924926758], [7138, 1.4042450189590454], [8016, 1.4117695093154907], [9832, 1.4347983598709106], [7116, 1.4389090538024902], [7212, 1.4436285495758057], [8123, 1.447044849395752], [8657, 1.4473551511764526], [8044, 1.452528715133667], [7822, 1.4561338424682617], [8022, 1.4587222337722778], [7502, 1.460777997970581], [8306, 1.4608185291290283], [9239, 1.4613481760025024], [9341, 1.4629020690917969]]",7698
video9503,a woman is talking about how jeans with patches or rips is trendy,"[[9503, 1.3762142658233643]]","[[9503, 1.3762142658233643], [7724, 1.434919834136963], [8825, 1.4356019496917725], [7684, 1.4397464990615845], [8488, 1.4543018341064453]]","[[9503, 1.3762142658233643], [7724, 1.434919834136963], [8825, 1.4356019496917725], [7684, 1.4397464990615845], [8488, 1.4543018341064453], [9039, 1.4597923755645752], [8824, 1.4611212015151978], [9793, 1.4697356224060059], [9348, 1.4750062227249146], [8669, 1.4780369997024536]]","[[9503, 1.3762142658233643], [7724, 1.434919834136963], [8825, 1.4356019496917725], [7684, 1.4397464990615845], [8488, 1.4543018341064453], [9039, 1.4597923755645752], [8824, 1.4611212015151978], [9793, 1.4697356224060059], [9348, 1.4750062227249146], [8669, 1.4780369997024536], [8317, 1.4784283638000488], [7577, 1.4798393249511719], [8796, 1.480111002922058], [9835, 1.4805216789245605], [9250, 1.4834504127502441]]",9503
video8903,a naked child runs through a field,"[[8125, 1.404203176498413]]","[[8125, 1.404203176498413], [9240, 1.4198229312896729], [9031, 1.4318382740020752], [7021, 1.4342727661132812], [9451, 1.4358234405517578]]","[[8125, 1.404203176498413], [9240, 1.4198229312896729], [9031, 1.4318382740020752], [7021, 1.4342727661132812], [9451, 1.4358234405517578], [8931, 1.447081208229065], [9805, 1.456116795539856], [7025, 1.4618725776672363], [8655, 1.4738332033157349], [8903, 1.4784061908721924]]","[[8125, 1.404203176498413], [9240, 1.4198229312896729], [9031, 1.4318382740020752], [7021, 1.4342727661132812], [9451, 1.4358234405517578], [8931, 1.447081208229065], [9805, 1.456116795539856], [7025, 1.4618725776672363], [8655, 1.4738332033157349], [8903, 1.4784061908721924], [8507, 1.4817566871643066], [8016, 1.481931209564209], [9511, 1.4830405712127686], [8044, 1.485780954360962], [7143, 1.4918179512023926]]",8903
video7415,a salad in a bowl is being filmed on a table,"[[8772, 1.379483938217163]]","[[8772, 1.379483938217163], [7415, 1.3807899951934814], [7845, 1.38099205493927], [9693, 1.3854291439056396], [9356, 1.3960336446762085]]","[[8772, 1.379483938217163], [7415, 1.3807899951934814], [7845, 1.38099205493927], [9693, 1.3854291439056396], [9356, 1.3960336446762085], [7559, 1.4021949768066406], [8514, 1.4036076068878174], [8686, 1.4248651266098022], [7566, 1.4252963066101074], [9639, 1.4277207851409912]]","[[8772, 1.379483938217163], [7415, 1.3807899951934814], [7845, 1.38099205493927], [9693, 1.3854291439056396], [9356, 1.3960336446762085], [7559, 1.4021949768066406], [8514, 1.4036076068878174], [8686, 1.4248651266098022], [7566, 1.4252963066101074], [9639, 1.4277207851409912], [7799, 1.4313688278198242], [7360, 1.4330434799194336], [7213, 1.4358820915222168], [8300, 1.4398995637893677], [8129, 1.4429638385772705]]",7415
video8807,a couple dancing doing salsa,"[[8807, 1.4097766876220703]]","[[8807, 1.4097766876220703], [9957, 1.430626630783081], [7593, 1.43218195438385], [9518, 1.435207486152649], [7362, 1.4384067058563232]]","[[8807, 1.4097766876220703], [9957, 1.430626630783081], [7593, 1.43218195438385], [9518, 1.435207486152649], [7362, 1.4384067058563232], [7212, 1.4389110803604126], [8899, 1.4404411315917969], [8652, 1.4451608657836914], [8815, 1.445861577987671], [7732, 1.4480359554290771]]","[[8807, 1.4097766876220703], [9957, 1.430626630783081], [7593, 1.43218195438385], [9518, 1.435207486152649], [7362, 1.4384067058563232], [7212, 1.4389110803604126], [8899, 1.4404411315917969], [8652, 1.4451608657836914], [8815, 1.445861577987671], [7732, 1.4480359554290771], [7200, 1.450119972229004], [8339, 1.4519855976104736], [8129, 1.4530370235443115], [8786, 1.460750937461853], [7788, 1.4633660316467285]]",8807
video7348,a girl is talking about relationships,"[[9419, 1.4456069469451904]]","[[9419, 1.4456069469451904], [8792, 1.453399419784546], [8488, 1.4548659324645996], [7724, 1.456763744354248], [8254, 1.4586102962493896]]","[[9419, 1.4456069469451904], [8792, 1.453399419784546], [8488, 1.4548659324645996], [7724, 1.456763744354248], [8254, 1.4586102962493896], [9698, 1.4614288806915283], [8317, 1.461543083190918], [8075, 1.461547613143921], [8824, 1.461656093597412], [9688, 1.4626686573028564]]","[[9419, 1.4456069469451904], [8792, 1.453399419784546], [8488, 1.4548659324645996], [7724, 1.456763744354248], [8254, 1.4586102962493896], [9698, 1.4614288806915283], [8317, 1.461543083190918], [8075, 1.461547613143921], [8824, 1.461656093597412], [9688, 1.4626686573028564], [8895, 1.465440273284912], [8340, 1.4705379009246826], [9205, 1.4709525108337402], [8486, 1.4718866348266602], [7216, 1.4722307920455933]]",7348
video7119,a man in a suit and a woman wearing brown giving the news,"[[8333, 1.3061401844024658]]","[[8333, 1.3061401844024658], [9690, 1.3266801834106445], [8650, 1.3422490358352661], [7469, 1.371902346611023], [7119, 1.3792005777359009]]","[[8333, 1.3061401844024658], [9690, 1.3266801834106445], [8650, 1.3422490358352661], [7469, 1.371902346611023], [7119, 1.3792005777359009], [7613, 1.3793110847473145], [7754, 1.386031150817871], [8175, 1.3890889883041382], [9223, 1.3987127542495728], [7234, 1.4023324251174927]]","[[8333, 1.3061401844024658], [9690, 1.3266801834106445], [8650, 1.3422490358352661], [7469, 1.371902346611023], [7119, 1.3792005777359009], [7613, 1.3793110847473145], [7754, 1.386031150817871], [8175, 1.3890889883041382], [9223, 1.3987127542495728], [7234, 1.4023324251174927], [9204, 1.403626561164856], [7145, 1.4054229259490967], [8930, 1.4091836214065552], [9834, 1.418894648551941], [9205, 1.4200372695922852]]",7119
video8902,a man is looking out a window to look at another man who jumped from the window to his death,"[[9323, 1.3835605382919312]]","[[9323, 1.3835605382919312], [8945, 1.3873792886734009], [9871, 1.3991438150405884], [7822, 1.4172406196594238], [7780, 1.4295976161956787]]","[[9323, 1.3835605382919312], [8945, 1.3873792886734009], [9871, 1.3991438150405884], [7822, 1.4172406196594238], [7780, 1.4295976161956787], [8497, 1.4312809705734253], [8499, 1.4326972961425781], [9331, 1.4370765686035156], [8016, 1.438870906829834], [8416, 1.4407687187194824]]","[[9323, 1.3835605382919312], [8945, 1.3873792886734009], [9871, 1.3991438150405884], [7822, 1.4172406196594238], [7780, 1.4295976161956787], [8497, 1.4312809705734253], [8499, 1.4326972961425781], [9331, 1.4370765686035156], [8016, 1.438870906829834], [8416, 1.4407687187194824], [7211, 1.444229006767273], [7766, 1.4443140029907227], [9228, 1.445656418800354], [7114, 1.4495658874511719], [9033, 1.4497274160385132]]",8902
