rel_video_id,query,top1,top5,top10,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.415151834487915]]","[[7579, 1.415151834487915], [9969, 1.4799106121063232], [8837, 1.4897732734680176], [9347, 1.4948583841323853], [8866, 1.5094395875930786]]","[[7579, 1.415151834487915], [9969, 1.4799106121063232], [8837, 1.4897732734680176], [9347, 1.4948583841323853], [8866, 1.5094395875930786], [8825, 1.5139577388763428], [9603, 1.5188720226287842], [7201, 1.5256853103637695], [9034, 1.5296111106872559], [9580, 1.5418593883514404]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3622068166732788]]","[[7725, 1.3622068166732788], [8014, 1.4865269660949707], [8339, 1.4922078847885132], [8442, 1.5024112462997437], [8556, 1.511048674583435]]","[[7725, 1.3622068166732788], [8014, 1.4865269660949707], [8339, 1.4922078847885132], [8442, 1.5024112462997437], [8556, 1.511048674583435], [7411, 1.5155417919158936], [8303, 1.5275015830993652], [9957, 1.5276553630828857], [9254, 1.5293798446655273], [7117, 1.5300288200378418]]",7725
video9258,a person is using a phone,"[[9258, 1.4011969566345215]]","[[9258, 1.4011969566345215], [9257, 1.422863483428955], [9697, 1.4413853883743286], [7910, 1.4945621490478516], [9603, 1.4998571872711182]]","[[9258, 1.4011969566345215], [9257, 1.422863483428955], [9697, 1.4413853883743286], [7910, 1.4945621490478516], [9603, 1.4998571872711182], [8924, 1.501394510269165], [7687, 1.5045617818832397], [7347, 1.521554946899414], [7369, 1.530113697052002], [8012, 1.5389740467071533]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.4027695655822754]]","[[7365, 1.4027695655822754], [8781, 1.4623048305511475], [9537, 1.4739768505096436], [7831, 1.505112648010254], [7222, 1.514506459236145]]","[[7365, 1.4027695655822754], [8781, 1.4623048305511475], [9537, 1.4739768505096436], [7831, 1.505112648010254], [7222, 1.514506459236145], [9777, 1.5283745527267456], [8911, 1.5462589263916016], [9814, 1.5544300079345703], [7741, 1.5603089332580566], [9539, 1.5623550415039062]]",7365
video8068,a woman on a couch talks to a a man,"[[7162, 1.4716743230819702]]","[[7162, 1.4716743230819702], [8304, 1.4787472486495972], [8068, 1.4926888942718506], [7724, 1.4982554912567139], [9023, 1.51153564453125]]","[[7162, 1.4716743230819702], [8304, 1.4787472486495972], [8068, 1.4926888942718506], [7724, 1.4982554912567139], [9023, 1.51153564453125], [8813, 1.5152695178985596], [8392, 1.5179630517959595], [7149, 1.5196641683578491], [8826, 1.5211718082427979], [9919, 1.5224076509475708]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4104280471801758]]","[[8264, 1.4104280471801758], [7131, 1.4545626640319824], [8451, 1.4589564800262451], [8322, 1.5217771530151367], [9803, 1.5225485563278198]]","[[8264, 1.4104280471801758], [7131, 1.4545626640319824], [8451, 1.4589564800262451], [8322, 1.5217771530151367], [9803, 1.5225485563278198], [8262, 1.5311415195465088], [7788, 1.5413167476654053], [8013, 1.5424026250839233], [7155, 1.544426679611206], [9302, 1.5450849533081055]]",7131
video7213,a woman is making lasagna,"[[8345, 1.4753135442733765]]","[[8345, 1.4753135442733765], [8910, 1.4815260171890259], [7213, 1.489058017730713], [8915, 1.489261507987976], [7165, 1.4951164722442627]]","[[8345, 1.4753135442733765], [8910, 1.4815260171890259], [7213, 1.489058017730713], [8915, 1.489261507987976], [7165, 1.4951164722442627], [7695, 1.4977586269378662], [7591, 1.5022869110107422], [8662, 1.511078953742981], [8444, 1.513946771621704], [8056, 1.5170117616653442]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.457465648651123]]","[[7828, 1.457465648651123], [7575, 1.4667668342590332], [9885, 1.4804556369781494], [8416, 1.4890186786651611], [8259, 1.492573618888855]]","[[7828, 1.457465648651123], [7575, 1.4667668342590332], [9885, 1.4804556369781494], [8416, 1.4890186786651611], [8259, 1.492573618888855], [8830, 1.4934368133544922], [9690, 1.5023078918457031], [9233, 1.5033072233200073], [8072, 1.5072154998779297], [8917, 1.5101640224456787]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[9823, 1.4620780944824219]]","[[9823, 1.4620780944824219], [8660, 1.4660369157791138], [9013, 1.4679255485534668], [7978, 1.4891501665115356], [7500, 1.4893999099731445]]","[[9823, 1.4620780944824219], [8660, 1.4660369157791138], [9013, 1.4679255485534668], [7978, 1.4891501665115356], [7500, 1.4893999099731445], [9647, 1.4907033443450928], [8675, 1.4908782243728638], [7358, 1.4939930438995361], [7699, 1.4942727088928223], [8308, 1.495530605316162]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.3377585411071777]]","[[7230, 1.3377585411071777], [7217, 1.3812671899795532], [9755, 1.399320125579834], [8258, 1.403618574142456], [8123, 1.4587804079055786]]","[[7230, 1.3377585411071777], [7217, 1.3812671899795532], [9755, 1.399320125579834], [8258, 1.403618574142456], [8123, 1.4587804079055786], [8899, 1.485304355621338], [8863, 1.5301493406295776], [9322, 1.5553176403045654], [7169, 1.56795334815979], [7688, 1.577250361442566]]",8123
video9800,a car is in a wreck,"[[7649, 1.4754021167755127]]","[[7649, 1.4754021167755127], [7614, 1.4875984191894531], [9800, 1.4931799173355103], [8243, 1.5218164920806885], [8246, 1.5343948602676392]]","[[7649, 1.4754021167755127], [7614, 1.4875984191894531], [9800, 1.4931799173355103], [8243, 1.5218164920806885], [8246, 1.5343948602676392], [8075, 1.536211371421814], [9975, 1.5393091440200806], [9622, 1.5397636890411377], [8497, 1.543839693069458], [9878, 1.545851707458496]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[8311, 1.4957177639007568]]","[[8311, 1.4957177639007568], [7364, 1.5090553760528564], [9028, 1.5109243392944336], [8022, 1.5162419080734253], [8650, 1.5288596153259277]]","[[8311, 1.4957177639007568], [7364, 1.5090553760528564], [9028, 1.5109243392944336], [8022, 1.5162419080734253], [8650, 1.5288596153259277], [9205, 1.5309381484985352], [8333, 1.5492795705795288], [7822, 1.5556573867797852], [7341, 1.5596296787261963], [9131, 1.5657391548156738]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3980191946029663]]","[[7590, 1.3980191946029663], [9023, 1.4840985536575317], [8330, 1.4905016422271729], [8974, 1.4940887689590454], [7114, 1.5019986629486084]]","[[7590, 1.3980191946029663], [9023, 1.4840985536575317], [8330, 1.4905016422271729], [8974, 1.4940887689590454], [7114, 1.5019986629486084], [8653, 1.5114307403564453], [9801, 1.515921950340271], [7964, 1.5221542119979858], [9237, 1.5228044986724854], [8922, 1.5233535766601562]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[8657, 1.4212357997894287]]","[[8657, 1.4212357997894287], [9017, 1.4290962219238281], [8820, 1.4648183584213257], [7544, 1.4867889881134033], [9609, 1.5193157196044922]]","[[8657, 1.4212357997894287], [9017, 1.4290962219238281], [8820, 1.4648183584213257], [7544, 1.4867889881134033], [9609, 1.5193157196044922], [8089, 1.519730567932129], [7219, 1.5210094451904297], [9813, 1.552298665046692], [8934, 1.5527698993682861], [7151, 1.5604395866394043]]",9017
video9241,japanese people laughing and dancing,"[[9241, 1.3825719356536865]]","[[9241, 1.3825719356536865], [9682, 1.4698140621185303], [7028, 1.4799280166625977], [7725, 1.48055899143219], [9131, 1.4951146841049194]]","[[9241, 1.3825719356536865], [9682, 1.4698140621185303], [7028, 1.4799280166625977], [7725, 1.48055899143219], [9131, 1.4951146841049194], [8349, 1.500530481338501], [8241, 1.512657880783081], [8303, 1.5218974351882935], [7212, 1.5241155624389648], [8074, 1.531984806060791]]",9241
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.3375513553619385]]","[[7158, 1.3375513553619385], [8464, 1.4277490377426147], [7731, 1.4992101192474365], [9223, 1.5167436599731445], [7754, 1.5494873523712158]]","[[7158, 1.3375513553619385], [8464, 1.4277490377426147], [7731, 1.4992101192474365], [9223, 1.5167436599731445], [7754, 1.5494873523712158], [7613, 1.565139651298523], [8864, 1.5825761556625366], [9204, 1.5872697830200195], [8175, 1.6043351888656616], [7753, 1.6065963506698608]]",7158
video9233,a man is giving a speech,"[[8830, 1.4154415130615234]]","[[8830, 1.4154415130615234], [8072, 1.4534854888916016], [9203, 1.455504298210144], [9233, 1.4814122915267944], [7410, 1.4837162494659424]]","[[8830, 1.4154415130615234], [8072, 1.4534854888916016], [9203, 1.455504298210144], [9233, 1.4814122915267944], [7410, 1.4837162494659424], [7828, 1.4860669374465942], [9522, 1.48783278465271], [8445, 1.4965542554855347], [8416, 1.5032880306243896], [8917, 1.5057017803192139]]",9233
video8687,fast moving time is shown here,"[[8013, 1.4823124408721924]]","[[8013, 1.4823124408721924], [8089, 1.4829456806182861], [7219, 1.484663486480713], [7544, 1.4902303218841553], [9535, 1.4952857494354248]]","[[8013, 1.4823124408721924], [8089, 1.4829456806182861], [7219, 1.484663486480713], [7544, 1.4902303218841553], [9535, 1.4952857494354248], [7506, 1.4959810972213745], [9328, 1.5011236667633057], [7214, 1.502816915512085], [9800, 1.5030288696289062], [8451, 1.5039609670639038]]",8687
video9337,some people are inside of a room,"[[9322, 1.4742207527160645]]","[[9322, 1.4742207527160645], [7843, 1.4755256175994873], [9237, 1.4838111400604248], [7149, 1.485732078552246], [7114, 1.486661434173584]]","[[9322, 1.4742207527160645], [7843, 1.4755256175994873], [9237, 1.4838111400604248], [7149, 1.485732078552246], [7114, 1.486661434173584], [7825, 1.4922856092453003], [9908, 1.4949111938476562], [8339, 1.5062201023101807], [8129, 1.5065499544143677], [8807, 1.509324550628662]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[9620, 1.4686026573181152]]","[[9620, 1.4686026573181152], [7562, 1.479142665863037], [8069, 1.4987272024154663], [9578, 1.5151705741882324], [8071, 1.5182254314422607]]","[[9620, 1.4686026573181152], [7562, 1.479142665863037], [8069, 1.4987272024154663], [9578, 1.5151705741882324], [8071, 1.5182254314422607], [7027, 1.5266430377960205], [8727, 1.5289963483810425], [9680, 1.535262107849121], [9609, 1.5453187227249146], [7732, 1.5530822277069092]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9793, 1.4619781970977783]]","[[9793, 1.4619781970977783], [7411, 1.467118740081787], [8314, 1.493613600730896], [8022, 1.494459867477417], [9037, 1.50307035446167]]","[[9793, 1.4619781970977783], [7411, 1.467118740081787], [8314, 1.493613600730896], [8022, 1.494459867477417], [9037, 1.50307035446167], [7772, 1.5043435096740723], [8781, 1.505984902381897], [8304, 1.506110429763794], [7145, 1.5078699588775635], [8605, 1.5080139636993408]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[8514, 1.407292366027832]]","[[8514, 1.407292366027832], [8656, 1.441918134689331], [9625, 1.4593684673309326], [7911, 1.4595928192138672], [9639, 1.465969204902649]]","[[8514, 1.407292366027832], [8656, 1.441918134689331], [9625, 1.4593684673309326], [7911, 1.4595928192138672], [9639, 1.465969204902649], [7565, 1.4728761911392212], [9689, 1.4734814167022705], [7148, 1.478238821029663], [8654, 1.489234209060669], [7376, 1.493669867515564]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.3413772583007812]]","[[8481, 1.3413772583007812], [8806, 1.461102843284607], [9503, 1.464255690574646], [8022, 1.4864710569381714], [8494, 1.5057823657989502]]","[[8481, 1.3413772583007812], [8806, 1.461102843284607], [9503, 1.464255690574646], [8022, 1.4864710569381714], [8494, 1.5057823657989502], [7119, 1.514310598373413], [9039, 1.5316879749298096], [8333, 1.5318011045455933], [9223, 1.5344197750091553], [8826, 1.5377249717712402]]",8481
