rel_video_id,query,top1,top5,top10,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.429732322692871]]","[[7579, 1.429732322692871], [8837, 1.4743598699569702], [9347, 1.485002040863037], [9969, 1.4868165254592896], [9034, 1.505092740058899]]","[[7579, 1.429732322692871], [8837, 1.4743598699569702], [9347, 1.485002040863037], [9969, 1.4868165254592896], [9034, 1.505092740058899], [8920, 1.51141357421875], [8825, 1.5149884223937988], [8866, 1.5187863111495972], [7201, 1.5332722663879395], [9580, 1.5345070362091064]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3680082559585571]]","[[7725, 1.3680082559585571], [8014, 1.4785898923873901], [9254, 1.4976009130477905], [8303, 1.5052683353424072], [7117, 1.5163400173187256]]","[[7725, 1.3680082559585571], [8014, 1.4785898923873901], [9254, 1.4976009130477905], [8303, 1.5052683353424072], [7117, 1.5163400173187256], [8339, 1.5168471336364746], [7411, 1.5189108848571777], [8305, 1.532728672027588], [8442, 1.5413295030593872], [8556, 1.5425113439559937]]",7725
video9258,a person is using a phone,"[[9258, 1.4039883613586426]]","[[9258, 1.4039883613586426], [9257, 1.434687852859497], [9697, 1.4522420167922974], [7910, 1.474836826324463], [7728, 1.5170468091964722]]","[[9258, 1.4039883613586426], [9257, 1.434687852859497], [9697, 1.4522420167922974], [7910, 1.474836826324463], [7728, 1.5170468091964722], [8924, 1.5185167789459229], [7687, 1.519793152809143], [7369, 1.5284466743469238], [8752, 1.5346291065216064], [7347, 1.5348364114761353]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.415398120880127]]","[[7365, 1.415398120880127], [9537, 1.437432885169983], [8781, 1.4780113697052002], [7831, 1.480605125427246], [9777, 1.484198808670044]]","[[7365, 1.415398120880127], [9537, 1.437432885169983], [8781, 1.4780113697052002], [7831, 1.480605125427246], [9777, 1.484198808670044], [7741, 1.5222375392913818], [8911, 1.5373090505599976], [7222, 1.540862798690796], [9814, 1.5428105592727661], [9539, 1.5491570234298706]]",7365
video8068,a woman on a couch talks to a a man,"[[7162, 1.4767019748687744]]","[[7162, 1.4767019748687744], [8304, 1.4780775308609009], [8068, 1.490191102027893], [8826, 1.505795955657959], [9919, 1.5062055587768555]]","[[7162, 1.4767019748687744], [8304, 1.4780775308609009], [8068, 1.490191102027893], [8826, 1.505795955657959], [9919, 1.5062055587768555], [8392, 1.5063906908035278], [8790, 1.511305809020996], [8813, 1.5130786895751953], [8120, 1.51348078250885], [8783, 1.5151339769363403]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4196712970733643]]","[[8264, 1.4196712970733643], [7131, 1.4536546468734741], [8451, 1.4562230110168457], [9803, 1.523419737815857], [8013, 1.5357766151428223]]","[[8264, 1.4196712970733643], [7131, 1.4536546468734741], [8451, 1.4562230110168457], [9803, 1.523419737815857], [8013, 1.5357766151428223], [8262, 1.5404772758483887], [9302, 1.5411136150360107], [8322, 1.5424734354019165], [7155, 1.5522162914276123], [7153, 1.552607536315918]]",7131
video7213,a woman is making lasagna,"[[8345, 1.45896577835083]]","[[8345, 1.45896577835083], [7213, 1.4762301445007324], [7591, 1.4836513996124268], [8915, 1.4871891736984253], [8910, 1.492452621459961]]","[[8345, 1.45896577835083], [7213, 1.4762301445007324], [7591, 1.4836513996124268], [8915, 1.4871891736984253], [8910, 1.492452621459961], [7165, 1.4933570623397827], [8834, 1.503028154373169], [8662, 1.5090422630310059], [8056, 1.5122535228729248], [7826, 1.5148426294326782]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.449944257736206]]","[[7828, 1.449944257736206], [7575, 1.4798362255096436], [8830, 1.485690712928772], [8416, 1.4910986423492432], [9885, 1.492805004119873]]","[[7828, 1.449944257736206], [7575, 1.4798362255096436], [8830, 1.485690712928772], [8416, 1.4910986423492432], [9885, 1.492805004119873], [8259, 1.4939332008361816], [9233, 1.496001958847046], [9117, 1.500534176826477], [9690, 1.5048174858093262], [8917, 1.512354850769043]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[9823, 1.4583101272583008]]","[[9823, 1.4583101272583008], [9013, 1.4699372053146362], [7500, 1.4744493961334229], [8660, 1.4842530488967896], [8262, 1.493861198425293]]","[[9823, 1.4583101272583008], [9013, 1.4699372053146362], [7500, 1.4744493961334229], [8660, 1.4842530488967896], [8262, 1.493861198425293], [7358, 1.4942092895507812], [8675, 1.4947978258132935], [7357, 1.495574951171875], [7699, 1.4985193014144897], [7978, 1.4997425079345703]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.3488104343414307]]","[[7230, 1.3488104343414307], [9755, 1.3864493370056152], [8258, 1.4202516078948975], [7217, 1.4243602752685547], [8123, 1.469399094581604]]","[[7230, 1.3488104343414307], [9755, 1.3864493370056152], [8258, 1.4202516078948975], [7217, 1.4243602752685547], [8123, 1.469399094581604], [8899, 1.5140632390975952], [9322, 1.5218074321746826], [8863, 1.54426908493042], [7549, 1.5569367408752441], [7204, 1.5630923509597778]]",8123
video9800,a car is in a wreck,"[[7649, 1.4492740631103516]]","[[7649, 1.4492740631103516], [9800, 1.4778566360473633], [9622, 1.5017695426940918], [7614, 1.5039583444595337], [8075, 1.5134779214859009]]","[[7649, 1.4492740631103516], [9800, 1.4778566360473633], [9622, 1.5017695426940918], [7614, 1.5039583444595337], [8075, 1.5134779214859009], [9878, 1.519175410270691], [9354, 1.526015281677246], [7752, 1.5337042808532715], [8246, 1.53763747215271], [8497, 1.5377087593078613]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[9205, 1.507310152053833]]","[[9205, 1.507310152053833], [8311, 1.5118578672409058], [9028, 1.528113842010498], [7364, 1.5298343896865845], [8022, 1.5436604022979736]]","[[9205, 1.507310152053833], [8311, 1.5118578672409058], [9028, 1.528113842010498], [7364, 1.5298343896865845], [8022, 1.5436604022979736], [8650, 1.5486729145050049], [9131, 1.548872709274292], [8333, 1.5498113632202148], [9882, 1.5584919452667236], [7822, 1.560920000076294]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3994649648666382]]","[[7590, 1.3994649648666382], [8330, 1.477936029434204], [8974, 1.5005083084106445], [9801, 1.5075833797454834], [8653, 1.5114421844482422]]","[[7590, 1.3994649648666382], [8330, 1.477936029434204], [8974, 1.5005083084106445], [9801, 1.5075833797454834], [8653, 1.5114421844482422], [9023, 1.5124731063842773], [7964, 1.5139439105987549], [9816, 1.5159225463867188], [7468, 1.5172580480575562], [8318, 1.5174102783203125]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[8657, 1.4182898998260498]]","[[8657, 1.4182898998260498], [9017, 1.4372323751449585], [8820, 1.4485821723937988], [7544, 1.4776909351348877], [7219, 1.5151586532592773]]","[[8657, 1.4182898998260498], [9017, 1.4372323751449585], [8820, 1.4485821723937988], [7544, 1.4776909351348877], [7219, 1.5151586532592773], [9609, 1.5430991649627686], [8934, 1.5453035831451416], [9302, 1.545349359512329], [9511, 1.5454909801483154], [8089, 1.5455654859542847]]",9017
video9241,japanese people laughing and dancing,"[[9241, 1.3961035013198853]]","[[9241, 1.3961035013198853], [9682, 1.4659423828125], [9131, 1.4934271574020386], [7725, 1.5031100511550903], [8349, 1.5086674690246582]]","[[9241, 1.3961035013198853], [9682, 1.4659423828125], [9131, 1.4934271574020386], [7725, 1.5031100511550903], [8349, 1.5086674690246582], [8014, 1.518664002418518], [8303, 1.524634599685669], [8118, 1.5254600048065186], [7970, 1.526318073272705], [8074, 1.5396814346313477]]",9241
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.3277617692947388]]","[[7158, 1.3277617692947388], [8464, 1.4437062740325928], [7731, 1.4967173337936401], [9223, 1.5206115245819092], [7754, 1.5444676876068115]]","[[7158, 1.3277617692947388], [8464, 1.4437062740325928], [7731, 1.4967173337936401], [9223, 1.5206115245819092], [7754, 1.5444676876068115], [7613, 1.5622272491455078], [8864, 1.5684552192687988], [9204, 1.5933842658996582], [8175, 1.5946910381317139], [7753, 1.6060357093811035]]",7158
video9233,a man is giving a speech,"[[8830, 1.4147555828094482]]","[[8830, 1.4147555828094482], [9203, 1.4542105197906494], [7828, 1.4686596393585205], [8072, 1.4748618602752686], [9233, 1.4804620742797852]]","[[8830, 1.4147555828094482], [9203, 1.4542105197906494], [7828, 1.4686596393585205], [8072, 1.4748618602752686], [9233, 1.4804620742797852], [9117, 1.4806568622589111], [7410, 1.4846960306167603], [9821, 1.4955086708068848], [9522, 1.4957057237625122], [8917, 1.5037624835968018]]",9233
video8687,fast moving time is shown here,"[[7219, 1.4776880741119385]]","[[7219, 1.4776880741119385], [8451, 1.492613673210144], [7544, 1.4954659938812256], [7214, 1.4960534572601318], [8089, 1.4978740215301514]]","[[7219, 1.4776880741119385], [8451, 1.492613673210144], [7544, 1.4954659938812256], [7214, 1.4960534572601318], [8089, 1.4978740215301514], [9535, 1.4980415105819702], [8013, 1.5002063512802124], [7021, 1.502997636795044], [8687, 1.5067291259765625], [7506, 1.5075197219848633]]",8687
video9337,some people are inside of a room,"[[7149, 1.4785248041152954]]","[[7149, 1.4785248041152954], [7114, 1.4803107976913452], [7843, 1.4944943189620972], [7825, 1.4993590116500854], [9908, 1.5044090747833252]]","[[7149, 1.4785248041152954], [7114, 1.4803107976913452], [7843, 1.4944943189620972], [7825, 1.4993590116500854], [9908, 1.5044090747833252], [9322, 1.5060276985168457], [8899, 1.507223129272461], [8129, 1.512750506401062], [7725, 1.5138423442840576], [9237, 1.51445734500885]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[9620, 1.4717947244644165]]","[[9620, 1.4717947244644165], [7562, 1.4942831993103027], [8069, 1.508861780166626], [8727, 1.5299009084701538], [8071, 1.5321574211120605]]","[[9620, 1.4717947244644165], [7562, 1.4942831993103027], [8069, 1.508861780166626], [8727, 1.5299009084701538], [8071, 1.5321574211120605], [9609, 1.5327866077423096], [7027, 1.5336357355117798], [8490, 1.536780834197998], [9680, 1.5399751663208008], [9578, 1.5466798543930054]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9793, 1.4573633670806885]]","[[9793, 1.4573633670806885], [8314, 1.4886971712112427], [7411, 1.4949676990509033], [7367, 1.495567798614502], [8022, 1.4964089393615723]]","[[9793, 1.4573633670806885], [8314, 1.4886971712112427], [7411, 1.4949676990509033], [7367, 1.495567798614502], [8022, 1.4964089393615723], [7772, 1.5039541721343994], [8482, 1.5041146278381348], [9037, 1.5079137086868286], [7145, 1.510174036026001], [8304, 1.5141432285308838]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[8514, 1.4226272106170654]]","[[8514, 1.4226272106170654], [8656, 1.4546186923980713], [9625, 1.4571702480316162], [9639, 1.4591904878616333], [7911, 1.4632294178009033]]","[[8514, 1.4226272106170654], [8656, 1.4546186923980713], [9625, 1.4571702480316162], [9639, 1.4591904878616333], [7911, 1.4632294178009033], [7565, 1.473876714706421], [7148, 1.4784667491912842], [9689, 1.4820306301116943], [9735, 1.4854657649993896], [8654, 1.4936811923980713]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.280439853668213]]","[[8481, 1.280439853668213], [9503, 1.476499319076538], [8806, 1.4976940155029297], [9037, 1.5137838125228882], [8494, 1.514277458190918]]","[[8481, 1.280439853668213], [9503, 1.476499319076538], [8806, 1.4976940155029297], [9037, 1.5137838125228882], [8494, 1.514277458190918], [7119, 1.5151948928833008], [8022, 1.5181490182876587], [9223, 1.5270979404449463], [8175, 1.5330311059951782], [9341, 1.5346496105194092]]",8481
video9224,someone is playing a game,"[[8313, 1.475816011428833]]","[[8313, 1.475816011428833], [9200, 1.4760961532592773], [7374, 1.4790557622909546], [7792, 1.4805259704589844], [9031, 1.4815928936004639]]","[[8313, 1.475816011428833], [9200, 1.4760961532592773], [7374, 1.4790557622909546], [7792, 1.4805259704589844], [9031, 1.4815928936004639], [8578, 1.4820528030395508], [7552, 1.483023762702942], [9332, 1.4834877252578735], [9795, 1.4839096069335938], [7919, 1.4848380088806152]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.2789158821105957]]","[[8426, 1.2789158821105957], [9359, 1.5077598094940186], [8241, 1.5230298042297363], [8741, 1.5245474576950073], [8248, 1.525699257850647]]","[[8426, 1.2789158821105957], [9359, 1.5077598094940186], [8241, 1.5230298042297363], [8741, 1.5245474576950073], [8248, 1.525699257850647], [8307, 1.5263402462005615], [9253, 1.5288071632385254], [8312, 1.5294091701507568], [9772, 1.5314631462097168], [7589, 1.545156478881836]]",8426
video9699,a man explains how to do a experiment,"[[9699, 1.4047915935516357]]","[[9699, 1.4047915935516357], [8257, 1.4935534000396729], [8067, 1.4940723180770874], [8804, 1.5100336074829102], [7575, 1.5227200984954834]]","[[9699, 1.4047915935516357], [8257, 1.4935534000396729], [8067, 1.4940723180770874], [8804, 1.5100336074829102], [7575, 1.5227200984954834], [8774, 1.5260987281799316], [7350, 1.5290534496307373], [9549, 1.5318001508712769], [9901, 1.5318849086761475], [9025, 1.5321425199508667]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7613, 1.4439716339111328]]","[[7613, 1.4439716339111328], [9204, 1.4533880949020386], [8864, 1.4683279991149902], [8822, 1.4692966938018799], [8333, 1.4733890295028687]]","[[7613, 1.4439716339111328], [9204, 1.4533880949020386], [8864, 1.4683279991149902], [8822, 1.4692966938018799], [8333, 1.4733890295028687], [7731, 1.4759337902069092], [7790, 1.480159044265747], [9223, 1.4813555479049683], [7119, 1.4845936298370361], [9882, 1.4847660064697266]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8300, 1.412126064300537]]","[[8300, 1.412126064300537], [8654, 1.4585342407226562], [8835, 1.4648144245147705], [9689, 1.4703960418701172], [7744, 1.5215821266174316]]","[[8300, 1.412126064300537], [8654, 1.4585342407226562], [8835, 1.4648144245147705], [9689, 1.4703960418701172], [7744, 1.5215821266174316], [9693, 1.5363965034484863], [9022, 1.5412089824676514], [8656, 1.5436336994171143], [8444, 1.5549579858779907], [7565, 1.55497407913208]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[7365, 1.466038703918457]]","[[7365, 1.466038703918457], [7179, 1.4719879627227783], [8863, 1.4835294485092163], [8827, 1.5286283493041992], [8341, 1.530949592590332]]","[[7365, 1.466038703918457], [7179, 1.4719879627227783], [8863, 1.4835294485092163], [8827, 1.5286283493041992], [8341, 1.530949592590332], [7157, 1.53444504737854], [7222, 1.53810715675354], [8268, 1.545072317123413], [8781, 1.5489662885665894], [8110, 1.5495929718017578]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[7147, 1.3196732997894287]]","[[7147, 1.3196732997894287], [9333, 1.3408358097076416], [9694, 1.4116644859313965], [9015, 1.483970046043396], [9335, 1.533233642578125]]","[[7147, 1.3196732997894287], [9333, 1.3408358097076416], [9694, 1.4116644859313965], [9015, 1.483970046043396], [9335, 1.533233642578125], [7362, 1.557854413986206], [8834, 1.5682878494262695], [7820, 1.5685701370239258], [9327, 1.5826067924499512], [9833, 1.5872269868850708]]",7147
video7744,a chef stirs up some ingredients inside of a pan,"[[9639, 1.4636766910552979]]","[[9639, 1.4636766910552979], [7148, 1.465620994567871], [9689, 1.472339153289795], [8654, 1.4730257987976074], [8300, 1.4736802577972412]]","[[9639, 1.4636766910552979], [7148, 1.465620994567871], [9689, 1.472339153289795], [8654, 1.4730257987976074], [8300, 1.4736802577972412], [9335, 1.4738569259643555], [9625, 1.4745209217071533], [8656, 1.4774261713027954], [9356, 1.4873239994049072], [7376, 1.4888454675674438]]",7744
video7839,this is a vine sports compilation,"[[9542, 1.3955183029174805]]","[[9542, 1.3955183029174805], [9605, 1.4058990478515625], [9018, 1.4060901403427124], [8913, 1.4095596075057983], [9029, 1.4113528728485107]]","[[9542, 1.3955183029174805], [9605, 1.4058990478515625], [9018, 1.4060901403427124], [8913, 1.4095596075057983], [9029, 1.4113528728485107], [9647, 1.4124598503112793], [7358, 1.414165735244751], [9817, 1.4174697399139404], [8979, 1.420654296875], [7789, 1.4252963066101074]]",7839
video7214,race cars of different colors lined up on a dark track,"[[7214, 1.4350388050079346]]","[[7214, 1.4350388050079346], [7219, 1.5021564960479736], [9252, 1.5227859020233154], [9511, 1.5456206798553467], [7506, 1.5472002029418945]]","[[7214, 1.4350388050079346], [7219, 1.5021564960479736], [9252, 1.5227859020233154], [9511, 1.5456206798553467], [7506, 1.5472002029418945], [7616, 1.5490021705627441], [8264, 1.5534372329711914], [8451, 1.5535268783569336], [9535, 1.5559821128845215], [8473, 1.5655628442764282]]",7214
video7771,a golf player is trying to hit the ball into the pit,"[[7771, 1.386176347732544]]","[[7771, 1.386176347732544], [7021, 1.507663369178772], [7556, 1.5113885402679443], [7368, 1.5257606506347656], [8049, 1.535245656967163]]","[[7771, 1.386176347732544], [7021, 1.507663369178772], [7556, 1.5113885402679443], [7368, 1.5257606506347656], [8049, 1.535245656967163], [8913, 1.5508792400360107], [9029, 1.5615625381469727], [7150, 1.5708268880844116], [9208, 1.5720608234405518], [7699, 1.5722098350524902]]",7771
