rel_video_id,query,top1,top5,top10,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.4419159889221191]]","[[7579, 1.4419159889221191], [9969, 1.454778790473938], [9347, 1.5092854499816895], [8837, 1.5100274085998535], [9034, 1.5111958980560303]]","[[7579, 1.4419159889221191], [9969, 1.454778790473938], [9347, 1.5092854499816895], [8837, 1.5100274085998535], [9034, 1.5111958980560303], [9348, 1.5196607112884521], [8866, 1.5261640548706055], [8604, 1.5342841148376465], [9580, 1.5375339984893799], [8825, 1.5395337343215942]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3929578065872192]]","[[7725, 1.3929578065872192], [8339, 1.4668443202972412], [9254, 1.4699351787567139], [8303, 1.5062799453735352], [8014, 1.5187926292419434]]","[[7725, 1.3929578065872192], [8339, 1.4668443202972412], [9254, 1.4699351787567139], [8303, 1.5062799453735352], [8014, 1.5187926292419434], [9815, 1.5338184833526611], [7732, 1.5351190567016602], [9957, 1.536557912826538], [8442, 1.5366026163101196], [9243, 1.5409189462661743]]",7725
video9258,a person is using a phone,"[[9258, 1.4097641706466675]]","[[9258, 1.4097641706466675], [9257, 1.442448377609253], [9697, 1.4582353830337524], [7910, 1.4844496250152588], [8924, 1.4980531930923462]]","[[9258, 1.4097641706466675], [9257, 1.442448377609253], [9697, 1.4582353830337524], [7910, 1.4844496250152588], [8924, 1.4980531930923462], [7363, 1.5250228643417358], [7154, 1.5283608436584473], [7593, 1.5296299457550049], [7369, 1.534214735031128], [9603, 1.5352033376693726]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.4170596599578857]]","[[7365, 1.4170596599578857], [9537, 1.4586076736450195], [8781, 1.481340765953064], [7831, 1.4882769584655762], [7741, 1.503652572631836]]","[[7365, 1.4170596599578857], [9537, 1.4586076736450195], [8781, 1.481340765953064], [7831, 1.4882769584655762], [7741, 1.503652572631836], [8911, 1.5071903467178345], [7222, 1.5082383155822754], [9777, 1.5524722337722778], [7111, 1.5647103786468506], [8839, 1.568527102470398]]",7365
video8068,a woman on a couch talks to a a man,"[[8068, 1.4879887104034424]]","[[8068, 1.4879887104034424], [9919, 1.5021100044250488], [9347, 1.5031837224960327], [8826, 1.50520920753479], [7162, 1.5090198516845703]]","[[8068, 1.4879887104034424], [9919, 1.5021100044250488], [9347, 1.5031837224960327], [8826, 1.50520920753479], [7162, 1.5090198516845703], [8813, 1.511002779006958], [9012, 1.5129187107086182], [8048, 1.516589879989624], [7149, 1.5307590961456299], [8790, 1.5308241844177246]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4207385778427124]]","[[8264, 1.4207385778427124], [8451, 1.4563243389129639], [7131, 1.4596071243286133], [8945, 1.4785161018371582], [8322, 1.5389807224273682]]","[[8264, 1.4207385778427124], [8451, 1.4563243389129639], [7131, 1.4596071243286133], [8945, 1.4785161018371582], [8322, 1.5389807224273682], [8013, 1.5393708944320679], [9803, 1.5428693294525146], [9302, 1.5484540462493896], [8622, 1.5498954057693481], [7153, 1.5512957572937012]]",7131
video7213,a woman is making lasagna,"[[7213, 1.4615671634674072]]","[[7213, 1.4615671634674072], [9836, 1.474291443824768], [8915, 1.4748141765594482], [7165, 1.4770886898040771], [8910, 1.4905635118484497]]","[[7213, 1.4615671634674072], [9836, 1.474291443824768], [8915, 1.4748141765594482], [7165, 1.4770886898040771], [8910, 1.4905635118484497], [8345, 1.4939656257629395], [7591, 1.5125000476837158], [8654, 1.5142185688018799], [7826, 1.517155647277832], [9731, 1.5174310207366943]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.454134225845337]]","[[7828, 1.454134225845337], [7575, 1.476961612701416], [8259, 1.4858334064483643], [9690, 1.486812710762024], [8830, 1.4915337562561035]]","[[7828, 1.454134225845337], [7575, 1.476961612701416], [8259, 1.4858334064483643], [9690, 1.486812710762024], [8830, 1.4915337562561035], [9885, 1.491624355316162], [8416, 1.4990794658660889], [9117, 1.4990971088409424], [9233, 1.506664514541626], [8917, 1.5088849067687988]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[7500, 1.47149658203125]]","[[7500, 1.47149658203125], [9823, 1.4739913940429688], [9013, 1.484644889831543], [9605, 1.4872690439224243], [8675, 1.4881246089935303]]","[[7500, 1.47149658203125], [9823, 1.4739913940429688], [9013, 1.484644889831543], [9605, 1.4872690439224243], [8675, 1.4881246089935303], [8660, 1.4889637231826782], [7358, 1.4919072389602661], [9647, 1.4964892864227295], [7978, 1.4970195293426514], [7699, 1.4996660947799683]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.3645353317260742]]","[[7230, 1.3645353317260742], [9755, 1.3805193901062012], [8258, 1.384282112121582], [7217, 1.4661024808883667], [8123, 1.4987860918045044]]","[[7230, 1.3645353317260742], [9755, 1.3805193901062012], [8258, 1.384282112121582], [7217, 1.4661024808883667], [8123, 1.4987860918045044], [8863, 1.5129650831222534], [8899, 1.5144002437591553], [9322, 1.5499147176742554], [8110, 1.557844877243042], [8240, 1.5580759048461914]]",8123
video9800,a car is in a wreck,"[[7649, 1.4415688514709473]]","[[7649, 1.4415688514709473], [9800, 1.465641975402832], [8243, 1.4895414113998413], [7614, 1.4968950748443604], [9622, 1.5112518072128296]]","[[7649, 1.4415688514709473], [9800, 1.465641975402832], [8243, 1.4895414113998413], [7614, 1.4968950748443604], [9622, 1.5112518072128296], [7752, 1.5305949449539185], [7820, 1.532637596130371], [9354, 1.5341607332229614], [9975, 1.5378342866897583], [8497, 1.5415287017822266]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[9205, 1.4835752248764038]]","[[9205, 1.4835752248764038], [8311, 1.5293607711791992], [8022, 1.53608238697052], [7364, 1.5409760475158691], [8650, 1.541276454925537]]","[[9205, 1.4835752248764038], [8311, 1.5293607711791992], [8022, 1.53608238697052], [7364, 1.5409760475158691], [8650, 1.541276454925537], [9131, 1.554997444152832], [8789, 1.5579030513763428], [9028, 1.5585544109344482], [8906, 1.5641483068466187], [9882, 1.5670218467712402]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3663679361343384]]","[[7590, 1.3663679361343384], [7114, 1.4822285175323486], [8653, 1.4924938678741455], [8330, 1.4960300922393799], [7782, 1.5084232091903687]]","[[7590, 1.3663679361343384], [7114, 1.4822285175323486], [8653, 1.4924938678741455], [8330, 1.4960300922393799], [7782, 1.5084232091903687], [8974, 1.5089188814163208], [8340, 1.510578989982605], [7175, 1.5106298923492432], [8808, 1.5133695602416992], [8829, 1.5175824165344238]]",7590
