rel_video_id,query,top1,top5,top10,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.4317591190338135]]","[[7579, 1.4317591190338135], [9969, 1.4791837930679321], [8604, 1.4936201572418213], [8837, 1.4953944683074951], [9580, 1.5094870328903198]]","[[7579, 1.4317591190338135], [9969, 1.4791837930679321], [8604, 1.4936201572418213], [8837, 1.4953944683074951], [9580, 1.5094870328903198], [8866, 1.5103952884674072], [9347, 1.5110139846801758], [9034, 1.5121753215789795], [8825, 1.5299651622772217], [9603, 1.5365996360778809]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3705811500549316]]","[[7725, 1.3705811500549316], [8339, 1.4744594097137451], [8014, 1.4834073781967163], [7411, 1.5099611282348633], [8556, 1.5102267265319824]]","[[7725, 1.3705811500549316], [8339, 1.4744594097137451], [8014, 1.4834073781967163], [7411, 1.5099611282348633], [8556, 1.5102267265319824], [7732, 1.5114729404449463], [9254, 1.5263768434524536], [8303, 1.52651047706604], [8442, 1.5293687582015991], [9957, 1.5408313274383545]]",7725
video9258,a person is using a phone,"[[9258, 1.407228708267212]]","[[9258, 1.407228708267212], [9257, 1.4204730987548828], [9697, 1.4379191398620605], [7910, 1.4886891841888428], [8924, 1.4907219409942627]]","[[9258, 1.407228708267212], [9257, 1.4204730987548828], [9697, 1.4379191398620605], [7910, 1.4886891841888428], [8924, 1.4907219409942627], [7687, 1.5101113319396973], [9603, 1.5135263204574585], [8485, 1.5374658107757568], [9770, 1.538285493850708], [8752, 1.539198398590088]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.414919137954712]]","[[7365, 1.414919137954712], [8781, 1.4894394874572754], [9537, 1.493170976638794], [7831, 1.498232126235962], [9777, 1.5135473012924194]]","[[7365, 1.414919137954712], [8781, 1.4894394874572754], [9537, 1.493170976638794], [7831, 1.498232126235962], [9777, 1.5135473012924194], [7222, 1.5178992748260498], [7741, 1.5227901935577393], [8911, 1.5385937690734863], [9814, 1.559103012084961], [9539, 1.5599029064178467]]",7365
video8068,a woman on a couch talks to a a man,"[[8068, 1.4808481931686401]]","[[8068, 1.4808481931686401], [7162, 1.4883418083190918], [8304, 1.488571047782898], [9023, 1.5063477754592896], [8392, 1.5090968608856201]]","[[8068, 1.4808481931686401], [7162, 1.4883418083190918], [8304, 1.488571047782898], [9023, 1.5063477754592896], [8392, 1.5090968608856201], [8813, 1.5097047090530396], [8790, 1.518066167831421], [9919, 1.5187633037567139], [7724, 1.5197950601577759], [8826, 1.5220879316329956]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4089252948760986]]","[[8264, 1.4089252948760986], [7131, 1.448756217956543], [8451, 1.4610875844955444], [8322, 1.5266456604003906], [8945, 1.5275429487228394]]","[[8264, 1.4089252948760986], [7131, 1.448756217956543], [8451, 1.4610875844955444], [8322, 1.5266456604003906], [8945, 1.5275429487228394], [7788, 1.542057752609253], [8013, 1.543148159980774], [9803, 1.5462003946304321], [7444, 1.5476269721984863], [8262, 1.5478841066360474]]",7131
video7213,a woman is making lasagna,"[[8915, 1.4778579473495483]]","[[8915, 1.4778579473495483], [8910, 1.484689712524414], [8345, 1.488413691520691], [7213, 1.4913032054901123], [7165, 1.496856689453125]]","[[8915, 1.4778579473495483], [8910, 1.484689712524414], [8345, 1.488413691520691], [7213, 1.4913032054901123], [7165, 1.496856689453125], [8662, 1.4982359409332275], [7695, 1.4998291730880737], [7591, 1.5067311525344849], [8056, 1.5199949741363525], [8444, 1.5213053226470947]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.4539248943328857]]","[[7828, 1.4539248943328857], [7575, 1.458146333694458], [9885, 1.4859566688537598], [8259, 1.489710807800293], [8830, 1.4911689758300781]]","[[7828, 1.4539248943328857], [7575, 1.458146333694458], [9885, 1.4859566688537598], [8259, 1.489710807800293], [8830, 1.4911689758300781], [8416, 1.4966189861297607], [9233, 1.504246711730957], [8072, 1.5121914148330688], [7410, 1.513157844543457], [9690, 1.515862226486206]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[9823, 1.465859055519104]]","[[9823, 1.465859055519104], [9013, 1.472179889678955], [7500, 1.4742815494537354], [8660, 1.477158784866333], [9647, 1.485757827758789]]","[[9823, 1.465859055519104], [9013, 1.472179889678955], [7500, 1.4742815494537354], [8660, 1.477158784866333], [9647, 1.485757827758789], [7358, 1.489976406097412], [7699, 1.4903967380523682], [7978, 1.4904870986938477], [8308, 1.4936633110046387], [8675, 1.4940450191497803]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.3371703624725342]]","[[7230, 1.3371703624725342], [9755, 1.3903361558914185], [8258, 1.40140700340271], [7217, 1.402700424194336], [8123, 1.4768829345703125]]","[[7230, 1.3371703624725342], [9755, 1.3903361558914185], [8258, 1.40140700340271], [7217, 1.402700424194336], [8123, 1.4768829345703125], [8899, 1.4863471984863281], [8863, 1.5114372968673706], [7169, 1.5605387687683105], [8018, 1.569352388381958], [8672, 1.5707368850708008]]",8123
video9800,a car is in a wreck,"[[7649, 1.4663151502609253]]","[[7649, 1.4663151502609253], [9800, 1.4800926446914673], [7614, 1.4840786457061768], [8075, 1.5170120000839233], [9622, 1.5223674774169922]]","[[7649, 1.4663151502609253], [9800, 1.4800926446914673], [7614, 1.4840786457061768], [8075, 1.5170120000839233], [9622, 1.5223674774169922], [9354, 1.5225032567977905], [8246, 1.5268137454986572], [8243, 1.5282278060913086], [9975, 1.5337163209915161], [9323, 1.5443583726882935]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[7364, 1.4955949783325195]]","[[7364, 1.4955949783325195], [8311, 1.502364993095398], [9205, 1.5239129066467285], [8022, 1.5348514318466187], [8650, 1.5375553369522095]]","[[7364, 1.4955949783325195], [8311, 1.502364993095398], [9205, 1.5239129066467285], [8022, 1.5348514318466187], [8650, 1.5375553369522095], [9028, 1.5391128063201904], [9131, 1.5469887256622314], [8333, 1.548490047454834], [7822, 1.5562349557876587], [7341, 1.5652331113815308]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3833703994750977]]","[[7590, 1.3833703994750977], [8330, 1.4770783185958862], [7114, 1.4866242408752441], [9023, 1.4871529340744019], [8974, 1.506055235862732]]","[[7590, 1.3833703994750977], [8330, 1.4770783185958862], [7114, 1.4866242408752441], [9023, 1.4871529340744019], [8974, 1.506055235862732], [8653, 1.5114730596542358], [9237, 1.5176453590393066], [7468, 1.5187357664108276], [9801, 1.5187790393829346], [8922, 1.519800066947937]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[9017, 1.4293488264083862]]","[[9017, 1.4293488264083862], [8657, 1.4505032300949097], [7544, 1.471937894821167], [8820, 1.4722704887390137], [8089, 1.5043632984161377]]","[[9017, 1.4293488264083862], [8657, 1.4505032300949097], [7544, 1.471937894821167], [8820, 1.4722704887390137], [8089, 1.5043632984161377], [9609, 1.517745018005371], [7219, 1.5220364332199097], [9813, 1.5469262599945068], [8934, 1.5469651222229004], [7151, 1.5487678050994873]]",9017
video9241,japanese people laughing and dancing,"[[9241, 1.372450590133667]]","[[9241, 1.372450590133667], [9682, 1.4477660655975342], [7725, 1.4954227209091187], [8349, 1.4958889484405518], [9131, 1.4961711168289185]]","[[9241, 1.372450590133667], [9682, 1.4477660655975342], [7725, 1.4954227209091187], [8349, 1.4958889484405518], [9131, 1.4961711168289185], [7726, 1.5099396705627441], [7212, 1.5127116441726685], [7028, 1.5134711265563965], [8303, 1.515808343887329], [8241, 1.5214860439300537]]",9241
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.3318464756011963]]","[[7158, 1.3318464756011963], [8464, 1.4334527254104614], [7731, 1.499570608139038], [9223, 1.5205317735671997], [7754, 1.5453736782073975]]","[[7158, 1.3318464756011963], [8464, 1.4334527254104614], [7731, 1.499570608139038], [9223, 1.5205317735671997], [7754, 1.5453736782073975], [8864, 1.5631377696990967], [7613, 1.5652996301651], [9204, 1.5855937004089355], [8175, 1.5961995124816895], [7753, 1.6047524213790894]]",7158
video9233,a man is giving a speech,"[[8830, 1.4156293869018555]]","[[8830, 1.4156293869018555], [9203, 1.456424355506897], [8072, 1.4676733016967773], [9233, 1.4783378839492798], [7410, 1.4842419624328613]]","[[8830, 1.4156293869018555], [9203, 1.456424355506897], [8072, 1.4676733016967773], [9233, 1.4783378839492798], [7410, 1.4842419624328613], [7828, 1.4878764152526855], [8445, 1.4984686374664307], [9522, 1.5014209747314453], [9117, 1.50230872631073], [7418, 1.505244493484497]]",9233
video8687,fast moving time is shown here,"[[7219, 1.4779560565948486]]","[[7219, 1.4779560565948486], [8089, 1.4808735847473145], [7544, 1.4851665496826172], [9328, 1.493277907371521], [7506, 1.4988197088241577]]","[[7219, 1.4779560565948486], [8089, 1.4808735847473145], [7544, 1.4851665496826172], [9328, 1.493277907371521], [7506, 1.4988197088241577], [8013, 1.4994354248046875], [9691, 1.5011223554611206], [8451, 1.5020344257354736], [9535, 1.503070592880249], [7214, 1.5034077167510986]]",8687
video9337,some people are inside of a room,"[[9237, 1.4732956886291504]]","[[9237, 1.4732956886291504], [7149, 1.476401925086975], [7114, 1.4880231618881226], [7843, 1.4885718822479248], [9322, 1.4902437925338745]]","[[9237, 1.4732956886291504], [7149, 1.476401925086975], [7114, 1.4880231618881226], [7843, 1.4885718822479248], [9322, 1.4902437925338745], [7825, 1.4924083948135376], [9908, 1.4963617324829102], [8129, 1.4979970455169678], [8339, 1.5001778602600098], [8472, 1.505677342414856]]",9337
video9620,outer space pictures that have parts of equipments in them with water droplets on it,"[[9620, 1.473628282546997]]","[[9620, 1.473628282546997], [7562, 1.484144926071167], [8069, 1.4899611473083496], [8071, 1.5167485475540161], [8493, 1.527742862701416]]","[[9620, 1.473628282546997], [7562, 1.484144926071167], [8069, 1.4899611473083496], [8071, 1.5167485475540161], [8493, 1.527742862701416], [8727, 1.5291823148727417], [9680, 1.529245138168335], [7027, 1.5304064750671387], [7431, 1.5441951751708984], [8490, 1.5505261421203613]]",9620
video7411,jolly good music troop delivering a program and the lady is in good spirit,"[[9793, 1.4650952816009521]]","[[9793, 1.4650952816009521], [7411, 1.4856880903244019], [8314, 1.4858109951019287], [8022, 1.495988130569458], [9037, 1.5002734661102295]]","[[9793, 1.4650952816009521], [7411, 1.4856880903244019], [8314, 1.4858109951019287], [8022, 1.495988130569458], [9037, 1.5002734661102295], [7145, 1.5020406246185303], [9023, 1.5117826461791992], [9241, 1.5125185251235962], [9589, 1.5142157077789307], [8781, 1.5144340991973877]]",7411
video8514,a person is putting the vegetable in to the water and boil it,"[[8514, 1.4061338901519775]]","[[8514, 1.4061338901519775], [8656, 1.4445838928222656], [9639, 1.4542148113250732], [9625, 1.4587221145629883], [7911, 1.4611666202545166]]","[[8514, 1.4061338901519775], [8656, 1.4445838928222656], [9639, 1.4542148113250732], [9625, 1.4587221145629883], [7911, 1.4611666202545166], [7565, 1.478033423423767], [7148, 1.4788941144943237], [9689, 1.4823191165924072], [7376, 1.4887940883636475], [8300, 1.498335361480713]]",8514
video8481,a woman is reporting on keds commercials,"[[8481, 1.361825704574585]]","[[8481, 1.361825704574585], [9503, 1.4516255855560303], [8806, 1.4779369831085205], [8022, 1.5079922676086426], [8494, 1.5120277404785156]]","[[8481, 1.361825704574585], [9503, 1.4516255855560303], [8806, 1.4779369831085205], [8022, 1.5079922676086426], [8494, 1.5120277404785156], [7119, 1.5186200141906738], [9223, 1.5286550521850586], [8333, 1.5316290855407715], [9037, 1.5354747772216797], [8783, 1.5364608764648438]]",8481
video9224,someone is playing a game,"[[9031, 1.47469162940979]]","[[9031, 1.47469162940979], [8313, 1.4778249263763428], [9200, 1.4779359102249146], [8578, 1.4784818887710571], [9336, 1.4803650379180908]]","[[9031, 1.47469162940979], [8313, 1.4778249263763428], [9200, 1.4779359102249146], [8578, 1.4784818887710571], [9336, 1.4803650379180908], [7374, 1.4807710647583008], [8459, 1.482640027999878], [7792, 1.4831839799880981], [9332, 1.483715534210205], [7919, 1.4839104413986206]]",9224
video8426,cabins on a sandy beach have walkways going up to their porches,"[[8426, 1.2742395401000977]]","[[8426, 1.2742395401000977], [8741, 1.5113105773925781], [8312, 1.5252097845077515], [8248, 1.5258290767669678], [8307, 1.5288358926773071]]","[[8426, 1.2742395401000977], [8741, 1.5113105773925781], [8312, 1.5252097845077515], [8248, 1.5258290767669678], [8307, 1.5288358926773071], [9359, 1.5387308597564697], [8862, 1.5417649745941162], [9244, 1.550889492034912], [7632, 1.5583415031433105], [9332, 1.5590014457702637]]",8426
video9699,a man explains how to do a experiment,"[[9699, 1.410818099975586]]","[[9699, 1.410818099975586], [8067, 1.470454454421997], [8804, 1.5064659118652344], [8257, 1.5066477060317993], [8774, 1.5206754207611084]]","[[9699, 1.410818099975586], [8067, 1.470454454421997], [8804, 1.5064659118652344], [8257, 1.5066477060317993], [8774, 1.5206754207611084], [8772, 1.5231451988220215], [7575, 1.5258359909057617], [9549, 1.532411813735962], [9249, 1.5374784469604492], [7833, 1.541731595993042]]",9699
video9882,a news reader is reading the news and asking question to some people,"[[7613, 1.4402458667755127]]","[[7613, 1.4402458667755127], [9204, 1.4530925750732422], [8864, 1.4652372598648071], [8333, 1.4714062213897705], [8822, 1.4730415344238281]]","[[7613, 1.4402458667755127], [9204, 1.4530925750732422], [8864, 1.4652372598648071], [8333, 1.4714062213897705], [8822, 1.4730415344238281], [7731, 1.4760421514511108], [7790, 1.4819960594177246], [9882, 1.4827150106430054], [7947, 1.4828124046325684], [9223, 1.4841225147247314]]",9882
video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking,"[[8300, 1.3965649604797363]]","[[8300, 1.3965649604797363], [8835, 1.4758919477462769], [8654, 1.4775638580322266], [9689, 1.4791556596755981], [7744, 1.5189284086227417]]","[[8300, 1.3965649604797363], [8835, 1.4758919477462769], [8654, 1.4775638580322266], [9689, 1.4791556596755981], [7744, 1.5189284086227417], [8656, 1.5304681062698364], [9693, 1.535360336303711], [7565, 1.5535070896148682], [9639, 1.5580332279205322], [9625, 1.5592126846313477]]",8300
video8863,an animated girl talks to a baby and plays with it,"[[7365, 1.472280502319336]]","[[7365, 1.472280502319336], [7179, 1.4755154848098755], [8863, 1.4793542623519897], [8110, 1.5126967430114746], [8827, 1.5225739479064941]]","[[7365, 1.472280502319336], [7179, 1.4755154848098755], [8863, 1.4793542623519897], [8110, 1.5126967430114746], [8827, 1.5225739479064941], [8341, 1.522581934928894], [7157, 1.5301071405410767], [8268, 1.5344141721725464], [7222, 1.5383374691009521], [7831, 1.556577444076538]]",8863
video7147,a man cooks burgers and bacon on a grill,"[[9333, 1.3217055797576904]]","[[9333, 1.3217055797576904], [7147, 1.3255984783172607], [9694, 1.4085133075714111], [9015, 1.4871187210083008], [9335, 1.553406000137329]]","[[9333, 1.3217055797576904], [7147, 1.3255984783172607], [9694, 1.4085133075714111], [9015, 1.4871187210083008], [9335, 1.553406000137329], [9038, 1.556493878364563], [8865, 1.568729043006897], [7362, 1.5786052942276], [8834, 1.5786867141723633], [8325, 1.5852100849151611]]",7147
video7744,a chef stirs up some ingredients inside of a pan,"[[7148, 1.4635159969329834]]","[[7148, 1.4635159969329834], [9335, 1.465374231338501], [9639, 1.465640902519226], [8300, 1.466348648071289], [9689, 1.4685025215148926]]","[[7148, 1.4635159969329834], [9335, 1.465374231338501], [9639, 1.465640902519226], [8300, 1.466348648071289], [9689, 1.4685025215148926], [8656, 1.4711002111434937], [8654, 1.472625732421875], [9625, 1.4757354259490967], [9356, 1.482527494430542], [7415, 1.4929914474487305]]",7744
video7839,this is a vine sports compilation,"[[8913, 1.4014132022857666]]","[[8913, 1.4014132022857666], [9542, 1.4033138751983643], [7358, 1.4050815105438232], [9605, 1.4060769081115723], [9029, 1.407717227935791]]","[[8913, 1.4014132022857666], [9542, 1.4033138751983643], [7358, 1.4050815105438232], [9605, 1.4060769081115723], [9029, 1.407717227935791], [8979, 1.4080733060836792], [9018, 1.414685845375061], [8253, 1.4179577827453613], [9817, 1.4214982986450195], [9647, 1.4216203689575195]]",7839
video7214,race cars of different colors lined up on a dark track,"[[7214, 1.4413715600967407]]","[[7214, 1.4413715600967407], [7219, 1.4959628582000732], [7616, 1.5238211154937744], [7506, 1.5349674224853516], [8264, 1.539811611175537]]","[[7214, 1.4413715600967407], [7219, 1.4959628582000732], [7616, 1.5238211154937744], [7506, 1.5349674224853516], [8264, 1.539811611175537], [9328, 1.5405340194702148], [9691, 1.5508155822753906], [9535, 1.5555351972579956], [8451, 1.5563997030258179], [7464, 1.559921145439148]]",7214
video7771,a golf player is trying to hit the ball into the pit,"[[7771, 1.38911771774292]]","[[7771, 1.38911771774292], [7556, 1.516453504562378], [7021, 1.5173178911209106], [8049, 1.521305799484253], [7368, 1.5223902463912964]]","[[7771, 1.38911771774292], [7556, 1.516453504562378], [7021, 1.5173178911209106], [8049, 1.521305799484253], [7368, 1.5223902463912964], [9018, 1.5508297681808472], [8913, 1.554274559020996], [7358, 1.5618199110031128], [7699, 1.5667935609817505], [8124, 1.5672577619552612]]",7771
video8486,a cartoon on a young guy cursing,"[[7160, 1.3886443376541138]]","[[7160, 1.3886443376541138], [7222, 1.4168682098388672], [7741, 1.4552209377288818], [8486, 1.4612209796905518], [7172, 1.4668710231781006]]","[[7160, 1.3886443376541138], [7222, 1.4168682098388672], [7741, 1.4552209377288818], [8486, 1.4612209796905518], [7172, 1.4668710231781006], [7831, 1.469285249710083], [9790, 1.4709807634353638], [7029, 1.4843668937683105], [8076, 1.4848976135253906], [8911, 1.4849765300750732]]",8486
video9909,a crowd of people sitting next to each other as one man plays a video game,"[[9909, 1.3802978992462158]]","[[9909, 1.3802978992462158], [8860, 1.4890400171279907], [8472, 1.4910483360290527], [8689, 1.4990493059158325], [8622, 1.5003565549850464]]","[[9909, 1.3802978992462158], [8860, 1.4890400171279907], [8472, 1.4910483360290527], [8689, 1.4990493059158325], [8622, 1.5003565549850464], [7444, 1.5095359086990356], [9745, 1.5111387968063354], [8797, 1.5117233991622925], [7035, 1.515439510345459], [7366, 1.5157139301300049]]",9909
